magnitude,longitude,latitude
1.8,-152.7882,59.395
1.73000002,-155.371505737305,19.1941661834717
4.2,141.2072,36.7873
1.03,-122.8174973,38.8346672
2.1500001,-155.234161376953,19.5301666259766
1.5,-147.3405,64.9749
1.6,-145.6388,62.1903
1.21,-66.2993333333333,17.9373333333333
1.76,-66.3206666666667,17.9581666666667
0.21,-122.8115005,38.8269997
-0.44,-112.894833333333,38.493
-0.57,-112.898833333333,38.494
-0.4,-112.883666666667,38.4998333333333
2.1,-149.3784,63.2945
2.5,-149.6405,62.8887
4.6,112.2448,-8.456
-0.57,-112.8865,38.4976666666667
1.5,-148.0209,65.3807
1.9,-146.9049,64.4954
-0.57,-112.888833333333,38.4961666666667
-1,-112.887,38.5003333333333
0.85,-122.8239975,38.8138351
-1,-112.89,38.4993333333333
-0.7,-112.881,38.4988333333333
-0.66,-112.886666666667,38.499
-0.9,-112.895333333333,38.4946666666667
2.16,-116.6858368,32.6269989
-0.62,-112.900666666667,38.4878333333333
-0.92,-112.890333333333,38.4928333333333
1.23,-115.8483333,32.7681667
1.83000004,-155.465667724609,19.1996669769287
0.82,-122.8010025,38.8066673
1.95000005,-155.479507446289,19.1595001220703
1.12,-115.5738333,33.0633333
1.9,-104.422,31.675
1.41,-117.5815,35.7515
0.8,-122.8021698,38.8334999
2.7,-152.4816,60.2592
1.6,-150.2759,62.9416
2,-104.42,31.675
2.2,-104.253,31.608
2.3900001,-155.500839233398,19.1770000457764
1.4,-151.0451,63.2761
0.76,-122.817337,38.8356667
1.96000004,-155.487503051758,19.167667388916
2.4000001,-155.504333496094,19.1884994506836
1.6,-104.012,31.557
1.6,-149.8968,62.0347
0.8,-122.8178329,38.8458328
1.59,-122.8171692,38.8453331
0.98,-121.90816666666667,46.894
1.85000002,-155.498001098633,19.1626663208008
4.8,-178.3091,-18.2027
0.61,-116.7228333,33.6551667
2.29999995,-155.382827758789,19.2476673126221
1.22,-116.1065,33.2338333
1.67,-118.470665,34.3273315
0.39,-122.8161697,38.8366661
1.83,-115.4573333,32.7861667
1.3,-122.8213348,38.8253326
1.9,-148.7858,64.7538
1.5,-149.0015,64.8445
1.23,-115.4548333,32.7851667
1.4,-119.704,39.3939
1.8,-150.7459,61.6771
0.22,-116.633,33.4493333
0.77,-122.7365036,38.7849998
2.34,-85.802,34.8928333333333
4.1,-172.2789,52.0505
0.81,-117.694,35.9066667
2.02,-66.9801666666667,17.9151666666667
0.01,-118.8558333,37.6056667
0.95,-122.8521652,38.2249985
2.72000003,-155.233993530273,18.8561668395996
0.24,-122.8376694,38.8451653
0.8,-119.7111,39.3932
1.08,-122.8161697,38.8328323
2.46000004,-155.479507446289,19.1644992828369
1.98000002,-155.467498779297,19.1941661834717
2.18000007,-155.411499023438,19.3950004577637
0.84,-122.7906647,38.8349991
1.78,-122.7214966,38.7584991
1.94,-124.3508301,40.2946663
2.31,-155.464340209961,19.4253330230713
2.27,-155.454498291016,19.4286670684814
1.76,-120.0355,36.4165
1,-147.9303,64.766
1.85,-113.045333333333,37.813
2.4,-150.8949,62.5213
0.6,-121.93766666666667,46.847166666666666
1.84,-121.92683333333333,46.851333333333336
0.36,-122.8454971,38.8333321
1.8,-139.6681,60.1925
5,95.6035,-46.2069
1.5,-149.281,62.4665
0.56,-116.6903333,33.6273333
1.8,-139.6846,60.2027
0.8,-122.7958298,38.7961655
4.8,-77.7185,-1.7939
2.18000007,-155.468170166016,19.1968326568604
1.46,-97.41416667,35.67133333
1.4,-149.2785,64.1072
5.1,-110.7808,26.1448
5,137.6025,37.534
2.6,-97.1373,36.5815
1.16,-117.2178333,33.9726667
4.4,102.0152,28.0627
1.75,-122.7249985,38.7821655
1.85000002,-155.485504150391,19.7471675872803
1.14,-117.9278333,33.9466667
4.3,142.1043,41.5047
1.03,-122.7593307,38.7926674
1.48,-122.8148346,38.8311653
1.46,-111.347,44.771
3.8,-114.2895,31.5352
3.41,-66.08,19.146
1.49,-123.3395004,39.5233345
2.3,-66.3393333333333,17.9565
1.15,-117.4661667,35.6128333
1.08,-122.8133316,38.8263321
2.1400001,-155.394500732422,19.1546669006348
2.2,-149.202,63.8707
4.3,-68.5386,-21.7142
5,78.8255,41.2749
4.5,40.4214,17.4467
4.8,137.7551,37.8175
1.1,-116.8689,37.0308
4.5,78.4559,41.2307
1.33,-122.8188324,38.8305016
0.81,-122.8184967,38.8149986
4.2,159.4911,52.4046
1.06,-121.91566666666667,46.9245
1.7,-104.379,31.678
1.3,-115.8328333,32.7823333
1.07,-122.7928314,38.8303337
1.11,-122.7913361,38.8293343
0.78,-122.7789993,38.7975006
2.07,-122.7925034,38.828167
2,-147.3918,60.5168
0.67,-116.8986667,33.3876667
2.39,-155.374664306641,19.2238330841064
0.85,-117.2168333,33.9713333
0.93,-116.821,34.1685
1.8,-151.4247,63.2095
3.34,-66.0115,18.1568333333333
2.11,-155.481826782227,19.1646671295166
0.69,-122.7886658,38.8250008
2.1,-152.9362,63.1672
5,-172.3839,-17.9441
0.75,-122.7701645,38.8098335
0.92,-116.2478333,33.3066667
1.17,-122.5510025,38.9124985
1.26,-122.8288345,38.8424988
1.53,-117.6673333,35.0428333
2.47,-66.3391666666667,17.9811666666667
2.73,-118.5508333,37.4116667
2.1,-104.41,31.683
2.44000006,-155.502838134766,19.1889991760254
0.3,-122.7985001,38.836834
1.6,-149.8738,61.8995
4.9,164.4206,55.3055
2.18000007,-155.470504760742,19.1641674041748
0.73,-111.138333333333,44.5841666666667
1.37,-115.449,32.7145
2.1,-150.0588,63.0526
1.6,-103.59,31.423
2.1099999,-155.481506347656,19.1648330688477
2.28,-122.8061676,38.8146667
1.58,-122.7021637,38.795166
5.2,-129.9355,-54.801
1.69,-122.758667,38.779335
5.1,-177.5738,-28.0528
0.74,-122.8178329,38.8154984
1.5,-147.3798,64.844
1.06,-117.5258333,34.054
1.85,-122.8073349,38.8354988
1.16,-116.6386667,33.9571667
1.7,-102.038,32.414
1.87,-155.408340454102,19.2509994506836
1.74,-66.2975,17.8993333333333
0.04,-135.668666666667,57.0566666666667
1.58,-119.72116666666666,46.2255
1.08,-122.59783333333333,42.164833333333334
1.33,-115.6151667,32.8218333
1.84,-117.5338333,34.0491667
1.7,-115.4523333,32.7176667
1.4,-146.2758,61.005
1.8,-149.337,65.2372
4.7,-150.6179,63.0101
0.77,-122.8013306,38.8323326
2.2,-66.2933333333333,17.9163333333333
2.59,-154.880493164062,19.8846664428711
4.1,174.4069,-39.6723
1.77,-117.494,33.8396667
1.68,-66.9661666666667,17.8995
0.39,-116.7681667,33.2728333
4.5,159.7606,52.2037
1.27,-122.8164978,38.8144989
1.35,-122.7863312,38.8264999
4.5,-177.5216,-19.6795
1.7,-150.292,65.592
-0.3,-176.147333333333,52.0926666666667
1,-119.7171,39.399
0.3,-177.192166666667,51.9648333333333
1.15,-135.646166666667,57.0526666666667
1.03,-122.8164978,38.8318329
1.95000005,-155.953826904297,19.5343341827393
1.47,-117.6858333,35.0296667
2.28,-123.1611633,39.3398323
-0.39,-177.195333333333,51.9298333333333
1.8,-122.81783333333334,47.444833333333335
1.4,-91.2823333333333,35.9393333333333
1.69,-115.6111667,33.136
1.4,-141.1877,60.2682
2,-111.617333333333,46.3148333333333
5.8,172.8697,-16.6622
2.17000008,-155.511337280273,19.1774997711182
2.32999992,-155.509826660156,19.1763324737549
2.5,-148.4172,62.5484
1.24,-118.8526688,37.6004982
2.38,-97.314,36.40083333